killID,season,wolfID,killDate,feedTrailLength
BeaverKill534,Summer,V079,9/18/21,35
BeaverKill535,Summer,P0C,9/19/21,25
BeaverKill539,Fall,V079,9/27/21,20
BeaverKill541,Fall,W0C,9/28/21,33
BeaverKill544,Fall,O0C,9/30/21,21
BeaverKill546,Fall,P0C,10/3/21,40
BeaverKill551,Fall,P0C,10/6/21,50
BeaverKill552,Fall,V071,10/7/21,21
BeaverKill556,Fall,O0C,10/12/21,29
BeaverKill559,Fall,V094,10/13/21,16
BeaverKill558,Fall,P0C,10/15/21,26
BeaverKill561,Fall,V094,10/21/21,30
BeaverKill555,Fall,V079,10/22/21,28
BeaverKill562,Fall,V079,10/23/21,20
BeaverKill568,Fall,P0C,10/23/21,12
BeaverKill567,Fall,V071,10/24/21,26
BeaverKill569,Fall,V079,10/26/21,31
BeaverKill97,Summer,UNK,NA,41
BeaverKill467,Summer,UNK,NA,25
BeaverKill576,Spring,P0C,5/6/22,32
Beaverkill631,Summer,R2L,6/11/22,7
BeaverKill649,Summer,P0C,7/25/22,91
BeaverKill672,Summer,B4D/B3S,9/5/22,20
BeaverKill680,Fall,P0C/P3S,9/21/22,7
BeaverKill691,Fall,P0C/P3S,10/7/22,57
BeaverKill692,Fall,R1T,10/6/22,17
BeaverKill694,Fall,P0C/P3S,10/12/22,25
BeaverKill695,Fall,Y1T,10/17/22,20
BeaverKill699,Fall,R2L,10/7/22,31
